event_date,spot_id,conteo_vistas
20241227,32669,2
20241227,36680,4
20241227,36684,2
20241227,34725,1
20241227,17957,1
20241205,35580,10
20241205,27441,1
20241205,13245,2
20241205,26984,1
20241205,5536,2
20241205,34515,3
20241205,35447,2
20241205,35041,2
20250126,31503,1
20250126,28589,1
20250126,35435,4
20250126,31228,1
20250531,34445,5
20250531,33238,1
20250531,43659,2
20250531,46343,2
20250531,54919,3
20250531,49723,1
20250531,54936,7
20250531,47392,7
20250531,38181,1
20250222,39149,1
20250222,39430,2
20250222,1072,1
20250222,35603,3
20250222,30696,1
20250222,19308,1
20250222,28542,1
20250222,13223,4
20250222,36804,1
20250222,1664,1
20250222,27345,1
20250222,24563,1
20250222,23062,1
20250317,37885,4
20250317,28995,2
20250317,38846,1
20250317,36105,1
20250317,23276,2
20250317,20590,1
20250317,28058,1
20250317,2387,1
20250317,29486,1
20250317,32819,2
20250317,38912,1
20250317,42544,3
20250605,43336,1
20250130,36712,2
20250130,2768,1
20250130,27596,3
20250130,32515,1
20250130,23542,7
20250130,36046,1
20250130,2281,5
20250130,31277,1
20250130,12835,1
20250130,15215,2
20250130,33600,2
20250130,23242,1
20250130,35653,1
20250130,14516,2
20250130,15267,1
20250130,20849,2
20250130,33847,3
20250130,11916,1
20250108,1653,1
20250108,2635,1
20250108,28129,1
20250108,37017,3
20250108,31843,4
20250108,10592,7
20250108,25496,1
20250108,31870,1
20250108,36984,1
20250108,1725,4
20250108,35346,2
20250108,36046,1
20250108,36390,1
20250108,35527,1
20250108,391,3
20250108,36470,2
20250226,28856,4
20250226,31184,1
20250226,18245,1
20250226,32931,4
20250226,34480,2
20250226,30979,3
20250226,39427,18
20250226,37024,1
20250226,9761,2
20250226,36188,7
20250226,23466,1
20250226,40950,1
20250226,40804,2
20250226,8154,1
20250226,24145,1
20250226,23083,1
20250226,9730,1
20250226,15131,3
20250226,30007,1
20250226,22584,1
20250226,36186,3
20250226,23572,1
20250226,26021,2
20250226,35943,1
20250226,37723,2
20250226,41993,1
20250226,15379,1
20250226,26100,1
20250226,17790,1
20250226,15744,1
20250226,28533,1
20250208,34445,1
20250208,17465,1
20250208,37023,1
20250208,39954,1
20250208,15215,3
20250208,23294,2
20250208,39968,8
20250208,19384,3
20250526,52269,2
20250526,49686,1
20250526,30596,3
20250526,34876,1
20250526,13391,9
20250526,27340,1
20250526,47060,1
20250526,48521,3
20250526,48531,1
20250526,36669,1
20250526,13378,1
20250526,44339,2
20250526,53132,1
20250526,23497,1
20250526,51342,4
20250526,31831,1
20250526,36946,3
20250526,23094,1
20250526,42406,1
20250526,20756,2
20250526,45731,2
20250526,49077,1
20250526,47436,2
20250526,44357,3
20250526,15131,1
20250526,51928,1
20250526,28675,2
20250526,47574,5
20250526,51932,2
20250526,35032,1
20250526,53930,4
20250526,28477,1
20250526,49735,1
20250526,48050,1
20250526,37273,4
20250526,47356,2
20241210,18544,2
20241210,2390,1
20241210,29936,1
20241210,1725,1
20250326,19341,6
20250326,5486,6
20250326,41104,3
20250326,41249,7
20250326,43115,2
20250326,33593,4
20250326,41646,1
20250326,37765,1
20250326,28543,1
20250326,34863,1
20250326,27330,3
20250326,2960,2
20250326,5311,5
20250326,20686,2
20250326,23186,1
20250326,29302,1
20250326,28478,1
20250326,28865,1
20250326,43502,1
20250326,32763,1
20250203,15667,3
20250203,14917,1
20250203,26063,5
20250203,12717,2
20250203,15259,1
20250513,40025,1
20250513,46967,6
20250513,39161,6
20250513,28542,6
20250513,46302,1
20250513,40763,1
20250513,51007,2
20250513,48522,1
20250513,51353,5
20250513,51484,20
20250513,50571,4
20250513,44979,1
20250513,5539,1
20250513,32075,1
20250513,43899,2
20250513,20735,1
20250513,34963,1
20250513,49005,1
20250513,29628,1
20250513,17735,1
20250513,23919,2
20250513,20862,2
20250121,38396,7
20250121,38417,7
20250121,13424,4
20250121,17445,1
20250121,36717,1
20250121,23503,4
20250121,27004,1
20250121,33600,6
20250121,34852,1
20250121,37059,1
20250121,36474,1
20250121,18273,2
20250121,31832,1
20250121,35996,2
20250121,36248,4
20250121,32475,2
20250121,33017,3
20250121,31719,2
20250121,23510,2
20250121,23085,1
20250121,15235,2
20250121,31477,1
20250121,32711,1
20250121,12117,1
20250121,31485,1
20250121,28245,1
20250121,35041,1
20250121,38035,1
20250121,38279,2
20250121,32884,1
20250308,29123,1
20250308,37157,1
20250308,37220,2
20250308,15269,2
20250308,27272,3
20250308,39096,1
20250308,28546,1
20250308,31895,1
20250112,15273,1
20250112,35796,2
20250112,35729,5
20250112,18121,1
20250112,583,1
20250112,13630,1
20250112,519,2
20250112,37199,7
20250112,36714,4
20250112,28533,1
20250112,15667,4
20241231,35400,4
20241209,28522,2
20241209,12167,2
20241209,23070,1
20241209,391,2
20241209,27330,3
20250508,49336,5
20250508,28196,1
20250508,45078,4
20250508,46919,2
20250508,39401,1
20250508,46912,1
20250508,10154,1
20250508,50914,6
20250508,15644,1
20250508,40050,1
20250508,13618,9
20250508,27723,1
20250508,45034,4
20250508,23816,1
20250508,43815,2
20250508,44876,12
20250508,48086,1
20250508,41091,1
20250508,42083,1
20250508,46007,7
20250508,44354,1
20250508,48488,6
20250508,47971,1
20250508,46030,1
20250508,38465,2
20250508,31351,4
20250508,500,1
20250508,33295,1
20250508,23135,1
20250508,15020,2
20250508,20723,2
20250508,26063,1
20250303,36681,6
20250303,27816,2
20250303,38080,1
20250303,30574,1
20250303,10078,1
20250303,30783,3
20250303,39085,1
20250303,36313,2
20250303,41543,2
20250303,23378,1
20250303,23249,1
20250303,36549,1
20250303,35545,1
20250303,39299,5
20250303,40924,5
20250303,15603,1
20250303,34113,5
20250303,15049,2
20250303,41052,1
20241226,29206,1
20241226,2432,2
20241226,32614,1
20241218,35964,1
20241218,20768,1
20241218,33847,2
20241218,32517,1
20241218,15336,1
20241218,31503,2
20241218,15330,2
20241218,30979,2
20241218,1670,2
20241218,20586,2
20250207,39586,1
20250207,39299,6
20250207,29207,3
20250207,29378,1
20250207,15810,3
20250207,27985,1
20250207,36534,2
20250207,519,2
20250207,27653,4
20250207,304,1
20250207,12877,1
20250207,2555,1
20250207,31472,1
20250207,39181,2
20250207,26151,1
20250207,34877,2
20250207,15667,3
20250604,38600,3
20250604,53315,1
20250604,51247,2
20250604,31351,2
20250604,32843,1
20250604,50542,3
20250604,47392,23
20250604,17554,1
20250604,49329,1
20250604,54191,10
20250604,44138,2
20250604,13619,3
20250604,12791,2
20250604,50394,9
20250604,54198,8
20250604,47456,5
20250604,41437,1
20250604,41790,1
20250604,49050,1
20250604,34424,1
20250604,23264,1
20250604,44779,3
20250604,55024,1
20250604,36632,1
20250604,23510,1
20250604,15076,1
20250604,42628,1
20250604,11903,1
20250604,23226,1
20250604,27311,1
20250604,37220,1
20250517,28995,1
20250517,28806,1
20250517,52787,3
20250517,28472,1
20250517,28667,3
20250517,30429,1
20250517,39359,1
20250517,35425,3
20250517,33040,1
20250517,28533,1
20250517,30971,1
20250304,41549,1
20250304,37710,1
20250304,19664,1
20250304,35313,1
20250304,38655,1
20250304,37138,1
20250304,40971,1
20250304,32762,2
20250304,15052,3
20250304,42625,2
20250304,30976,7
20250304,40087,2
20250304,18951,2
20250304,23430,1
20250304,31337,1
20250304,15133,1
20250304,26063,5
20250304,23005,1
20250304,1725,7
20250304,20758,1
20250304,2632,1
20250304,10969,1
20250304,27565,1
20250304,17810,1
20250304,42637,6
20250304,33033,1
20250304,39176,2
20250125,30884,1
20250125,3053,1
20250125,28520,1
20250125,30639,2
20250125,31265,1
20250212,30595,1
20250212,33714,2
20250212,32644,1
20250212,30444,1
20250212,33251,2
20250212,38395,1
20250212,35296,1
20250212,1390,1
20250212,32475,1
20250212,26910,2
20250212,5311,2
20250212,29383,1
20250212,27354,1
20250212,23573,2
20250212,15712,1
20250212,28543,2
20250212,32284,1
20250212,27229,2
20250212,28674,4
20250212,18273,4
20250212,37885,1
20250417,33738,2
20250417,47085,38
20250417,46847,3
20250417,47126,113
20250417,46968,1
20250417,47040,5
20250417,46746,1
20250417,42373,3
20250417,37797,5
20250417,15330,2
20250417,26063,1
20250417,46959,1
20250417,32562,1
20250417,42434,4
20250417,36494,3
20250417,46568,2
20250417,36913,1
20250417,1732,3
20250417,33498,1
20241214,35698,1
20241214,35483,1
20241214,34888,2
20241214,35795,2
20241214,33846,1
20250221,29092,1
20250221,28828,5
20250221,39353,3
20250221,28130,1
20250221,40964,7
20250221,36640,2
20250221,38933,6
20250221,34217,1
20250221,23510,1
20250221,29123,1
20250221,37700,1
20250221,31057,1
20250221,5781,1
20250221,36905,1
20250221,29302,2
20250603,51948,1
20250603,30976,3
20250603,50616,1
20250603,41871,2
20250603,46878,1
20250603,33411,3
20250603,52824,1
20250603,52191,2
20250603,55608,1
20250603,37856,1
20250603,1654,1
20250603,14515,1
20250603,54185,1
20250603,49724,2
20250603,38306,2
20250107,13124,1
20250107,34617,2
20250107,891,3
20250107,15218,3
20250107,36985,2
20250107,1082,1
20250107,11471,1
20250107,33445,1
20250107,32611,1
20250107,27625,3
20250107,36984,4
20250107,29092,1
20250107,10618,1
20250413,24725,1
20250413,23592,2
20250413,26063,3
20250413,27330,3
20250413,27682,2
20250413,38814,1
20250413,28922,4
20250413,14053,1
20250413,2472,2
20250413,46486,2
20250525,40878,1
20250525,36780,1
20250525,45034,1
20250525,46063,1
20250525,37903,1
20250525,27330,1
20250525,44909,2
20250525,33937,2
20250525,48465,2
20250525,43055,1
20250522,29031,4
20250522,33376,1
20250522,37936,1
20250522,50630,2
20250522,45572,5
20250522,41448,4
20250522,30610,1
20250522,52886,4
20250522,17510,1
20250522,42138,1
20250522,53234,1
20250522,43784,1
20250522,43724,2
20250522,13040,1
20250522,45943,4
20250522,2842,4
20250522,15919,1
20250522,48086,1
20250522,41628,1
20250522,23082,1
20250522,31781,1
20250522,49156,2
20250522,36382,1
20250529,23541,1
20250529,26488,1
20250529,30144,3
20250529,46217,3
20250529,42500,1
20250529,1777,2
20250529,26080,6
20250529,35943,4
20250529,10476,2
20250529,3187,2
20250529,42863,2
20250529,29182,1
20250529,44211,1
20250529,31366,1
